Blackout Horizon (s),N Episodes,Mean Error (m),Median Error (m),P90 Error (m),Max Error (m)
2,78,3.7576539516448975,2.8120920658111572,7.5701584815979,21.504924774169922
5,78,11.22103214263916,7.783190727233887,26.846843719482422,57.533512115478516
10,78,25.842161178588867,18.595233917236328,56.18614959716797,120.97731018066406
15,78,39.773048400878906,30.14027214050293,85.00122833251953,171.23291015625
30,78,89.21345520019531,79.99807739257812,185.52786254882812,284.4175109863281
60,78,213.52639770507812,197.7651824951172,348.8813171386719,572.769775390625
