episode_idx,time_sec,dr_E_m,dr_N_m,gt_E_m,gt_N_m,drift_m
1,44,148.71034,-166.96016,144.02983,-356.52722,189.62483
1,45,152.07303,-168.20341,146.27512,-365.06384,196.94579
1,46,153.73128,-168.84608,148.83806,-373.44348,204.6559
1,47,154.06667,-168.99756,151.29924,-381.79733,212.81776
1,48,153.63484,-168.77719,153.73816,-390.03275,221.25558
1,49,152.78458,-168.27957,155.83412,-398.10843,229.84909
1,50,151.65999,-167.57509,157.87448,-406.19482,238.70065
1,51,150.77216,-167.01628,160.68085,-413.6478,246.83049
1,52,150.40903,-166.7891,164.61002,-420.08597,253.69466
1,53,150.50949,-166.85023,169.89705,-425.51236,259.38766
1,54,150.82967,-167.05612,176.49191,-429.64496,263.8398
1,55,151.05814,-167.20833,183.19958,-433.16513,267.89194
1,56,150.95587,-167.14064,188.67134,-437.3883,272.86676
1,57,150.11378,-166.61168,192.24037,-442.7954,279.37805
1,58,148.38533,-165.56046,193.49908,-449.5473,287.54788
1,59,146.86745,-164.62642,192.65079,-457.6946,296.62277
1,60,146.17903,-164.1897,191.2085,-466.85892,306.00052
2,1,3.184768,-9.232889,2.743198,-8.382204,0.95846194
2,2,6.6525564,-18.604794,5.8851647,-17.951195,1.0080086
2,3,10.48479,-28.10348,9.104332,-27.668997,1.4472177
2,4,14.698145,-37.72943,12.27067,-37.23808,2.476704
2,5,19.985477,-47.469616,15.396465,-46.529793,4.684261
2,6,25.917147,-57.14975,18.532463,-55.652603,7.534919
2,7,33.1387,-67.18083,21.64328,-64.778046,11.743851
2,8,41.47322,-77.2795,24.606636,-73.67431,17.247583
2,9,50.41401,-87.09854,27.335625,-82.29848,23.57228
2,10,58.95995,-96.20642,29.92208,-90.67802,29.559452
2,11,67.54201,-105.42426,32.378963,-98.83038,35.775955
2,12,76.29723,-115.13137,34.771168,-107.15054,42.286022
2,13,85.69543,-125.75233,37.189575,-116.02968,49.470673
2,14,95.42172,-136.5617,39.54021,-125.088,57.047256
2,15,103.937515,-146.22775,41.7855,-133.62459,63.416977
2,16,111.155045,-154.6825,44.348442,-142.00426,67.99897
2,17,117.0708,-162.43,46.80963,-150.35811,71.29069
2,18,122.15408,-169.78903,49.24854,-158.5935,73.76014
2,19,126.57894,-177.05734,51.34451,-166.66919,75.948235
2,20,130.63603,-184.19743,53.38487,-174.7556,77.82603
2,21,134.81824,-191.5943,56.19123,-182.20856,79.18522
2,22,139.32913,-199.52255,60.120407,-188.64674,79.9519
2,23,144.21718,-207.87225,65.40743,-194.07314,80.0087
2,24,149.03677,-216.59332,72.0023,-198.20573,79.19857
2,25,153.68811,-225.34178,78.70997,-201.72589,78.60937
2,26,158.19325,-233.7538,84.18173,-205.94907,79.06205
2,27,162.47623,-241.31308,87.750755,-211.35617,80.5066
2,28,166.35464,-247.93344,89.00946,-218.10806,82.89651
2,29,170.32571,-254.79382,88.16117,-226.25539,86.97962
2,30,174.67636,-262.55298,86.71888,-235.41968,92.047455
2,31,179.34573,-270.66922,85.92227,-244.96675,96.894585
2,32,183.5258,-277.86957,85.92668,-254.98898,100.245255
2,33,186.94029,-284.59644,86.15781,-265.456,102.58395
2,34,189.77263,-291.83047,86.52428,-276.07553,104.44348
2,35,191.45555,-299.6421,86.941185,-286.7675,105.30436
2,36,191.80975,-307.87766,87.70708,-297.7264,104.596436
2,37,190.90782,-316.20282,89.260315,-308.17706,101.96386
2,38,189.04431,-323.93332,91.18229,-319.0964,97.98148
2,39,187.25394,-330.99097,93.25618,-330.28784,94.00038
2,40,185.63376,-337.317,95.262726,-341.41324,90.46382
2,41,184.08702,-343.55777,97.12418,-352.73776,87.44603
2,42,182.74738,-349.8981,98.604485,-364.23935,85.35629
2,43,181.41608,-356.47446,99.0172,-375.036,84.46364
2,44,180.08253,-363.2217,99.02699,-385.05478,83.94453
2,45,178.61765,-370.7449,99.0136,-394.9556,83.20434
2,46,176.99908,-378.75085,99.23776,-406.1515,82.44767
2,47,175.29958,-387.54327,99.81295,-417.2743,81.13054
2,48,173.80782,-396.3717,101.08305,-427.56918,79.133896
2,49,172.77373,-404.8806,103.16521,-437.9465,77.06296
2,50,172.05188,-412.80832,106.417206,-448.18063,74.55945
2,51,171.38344,-419.8928,110.71431,-457.91882,71.601135
2,52,170.2752,-426.3299,115.67925,-466.1771,67.59081
2,53,167.94063,-432.7304,121.36347,-473.0827,61.6258
2,54,164.25905,-439.87903,127.63282,-478.815,53.4555
2,55,159.54851,-446.86417,134.87975,-483.30426,44.004868
2,56,154.7353,-453.71344,143.21611,-486.9168,35.144783
2,57,150.00768,-460.42386,152.10449,-491.7033,31.349651
2,58,145.38725,-466.9228,160.86212,-498.77246,35.41007
2,59,140.66637,-473.5283,170.28572,-506.7583,44.51449
2,60,135.39603,-480.67987,181.17787,-514.711,57.044674
3,1,-1.0253806,-8.736689,-0.67402244,-8.556116,0.39504305
3,2,-1.9364598,-16.709877,-0.66961026,-18.578337,2.2574432
3,3,-3.2299936,-24.259884,-0.43848678,-29.045338,5.5401335
3,4,-5.30645,-31.871538,-0.07201447,-39.664898,9.388065
3,5,-8.736609,-39.403313,0.34489197,-50.356846,14.228618
3,6,-13.662474,-46.656696,1.1107843,-61.315758,20.811949
3,7,-19.843246,-53.325058,2.664019,-71.766426,29.09744
3,8,-26.89193,-59.198483,4.585996,-82.68577,39.274834
3,9,-33.662006,-64.70468,6.6598897,-93.877205,49.768375
3,10,-39.98067,-69.81977,8.666436,-105.002594,60.036423
3,11,-46.23959,-74.96758,10.527894,-116.327126,70.23645
3,12,-52.363686,-80.371605,12.008194,-127.82871,79.97447
3,13,-58.619305,-85.986855,12.420905,-138.62538,88.41677
3,14,-64.975746,-91.74575,12.430701,-148.64413,96.06864
3,15,-71.89778,-98.05267,12.417308,-158.54495,103.77066
3,16,-79.24022,-104.64689,12.641472,-169.74084,112.60315
3,17,-87.10985,-111.83698,13.21666,-180.86366,121.77886
3,18,-94.82504,-119.2267,14.48676,-191.15854,130.85588
3,19,-101.939186,-126.70439,16.568916,-201.53586,140.15677
3,20,-108.4276,-133.9495,19.820915,-211.76997,150.01236
3,21,-114.38327,-140.55612,24.118015,-221.5082,160.42395
3,22,-120.41167,-146.29445,29.082962,-229.76645,171.2198
3,23,-127.60283,-151.02121,34.767178,-236.67206,183.57584
3,24,-136.43425,-155.34915,41.03653,-242.40437,197.67268
3,25,-146.0803,-158.73888,48.283447,-246.89362,213.421
3,26,-155.75397,-161.93051,56.619812,-250.50616,230.1049
3,27,-165.28882,-165.06372,65.508194,-255.29265,247.80742
