Blackout Horizon (s),N Episodes,Mean Error (m),Median Error (m),P90 Error (m),Max Error (m)
2,78,3.71366286277771,2.690645217895508,7.787285804748535,21.640277862548828
5,78,10.987804412841797,7.7595391273498535,27.004173278808594,58.21952438354492
10,78,24.763900756835938,17.713075637817383,57.644283294677734,124.5007553100586
15,78,38.08989334106445,30.071834564208984,85.90757751464844,185.9251708984375
30,78,89.262939453125,72.8194808959961,180.0246124267578,339.1127014160156
60,78,232.68359375,225.5992431640625,405.2857971191406,576.7044677734375
